2024-07-23T16:24:26.879820Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723066951,"T":1721723066951,"s":"ETHUSDT","t":4229210717,"p":"3473.94","q":"0.011","X":"MARKET","m":true}}
2024-07-23T16:24:26.910796Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723066982,"T":1721723066981,"s":"ETHUSDT","t":4229210718,"p":"3473.95","q":"0.813","X":"MARKET","m":false}}
2024-07-23T16:24:26.957857Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067029,"T":1721723067028,"s":"ETHUSDT","t":4229210719,"p":"3473.95","q":"0.575","X":"MARKET","m":false}}
2024-07-23T16:24:26.963935Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210720,"p":"3473.95","q":"0.010","X":"MARKET","m":false}}
2024-07-23T16:24:26.963973Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210721,"p":"3473.95","q":"2.202","X":"MARKET","m":false}}
2024-07-23T16:24:26.964005Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210722,"p":"3473.95","q":"0.798","X":"MARKET","m":false}}
2024-07-23T16:24:26.964037Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210723,"p":"3473.95","q":"4.958","X":"MARKET","m":false}}
2024-07-23T16:24:26.964069Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210724,"p":"3473.95","q":"2.878","X":"MARKET","m":false}}
2024-07-23T16:24:26.964102Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210725,"p":"3473.95","q":"6.733","X":"MARKET","m":false}}
2024-07-23T16:24:26.964139Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210726,"p":"3473.95","q":"0.027","X":"MARKET","m":false}}
2024-07-23T16:24:26.964172Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210727,"p":"3473.95","q":"0.312","X":"MARKET","m":false}}
2024-07-23T16:24:26.964203Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067034,"s":"ETHUSDT","t":4229210728,"p":"3473.95","q":"0.028","X":"MARKET","m":false}}
