2024-07-23T16:32:10.713190Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530774,"T":1721723530774,"s":"ETHUSDT","t":4229296411,"p":"3510.79","q":"0.006","X":"MARKET","m":true}}
2024-07-23T16:32:10.715090Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530777,"T":1721723530777,"s":"ETHUSDT","t":4229296412,"p":"3510.80","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.717925Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530780,"T":1721723530780,"s":"ETHUSDT","t":4229296413,"p":"3510.79","q":"0.257","X":"MARKET","m":true}}
2024-07-23T16:32:10.717967Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530780,"T":1721723530780,"s":"ETHUSDT","t":4229296414,"p":"3510.79","q":"0.033","X":"MARKET","m":true}}
2024-07-23T16:32:10.725046Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530786,"T":1721723530786,"s":"ETHUSDT","t":4229296415,"p":"3510.80","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.727092Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530787,"T":1721723530787,"s":"ETHUSDT","t":4229296416,"p":"3510.79","q":"0.216","X":"MARKET","m":true}}
2024-07-23T16:32:10.728798Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530790,"T":1721723530789,"s":"ETHUSDT","t":4229296417,"p":"3510.80","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.743512Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530805,"T":1721723530804,"s":"ETHUSDT","t":4229296418,"p":"3510.79","q":"0.200","X":"MARKET","m":true}}
2024-07-23T16:32:10.746575Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530808,"T":1721723530808,"s":"ETHUSDT","t":4229296419,"p":"3510.79","q":"0.012","X":"MARKET","m":true}}
2024-07-23T16:32:10.806552Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530868,"T":1721723530868,"s":"ETHUSDT","t":4229296420,"p":"3510.79","q":"0.920","X":"MARKET","m":true}}
2024-07-23T16:32:10.821800Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530883,"T":1721723530883,"s":"ETHUSDT","t":4229296421,"p":"3510.80","q":"0.367","X":"MARKET","m":false}}
2024-07-23T16:32:10.826189Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723530887,"T":1721723530887,"s":"XRPUSDT","t":1535426563,"p":"0.5995","q":"462.7","X":"MARKET","m":false}}
2024-07-23T16:32:10.826228Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723530887,"T":1721723530887,"s":"XRPUSDT","t":1535426564,"p":"0.5995","q":"4500.0","X":"MARKET","m":false}}
